# Duplicates found in Ground Truth data
# Generated by evaluation.ipynbhttps://www.uni-due.de/person/56085 	&#350;enay Aslan Y&#305;lmaz
https://www.uni-due.de/person/57184 	Kaufmann, Dr.
https://www.uni-due.de/person/57187 	Kaufmann, Dr.
https://www.uni-due.de/person/54187 	Kaufmann, Dr.
https://www.uni-due.de/person/54188 	Kaufmann, Dr.
https://www.uni-due.de/person/51464 	Kayser, geb. Tietze
https://www.uni-due.de/person/51463 	Kayser, geb. Tietze
https://www.uni-due.de/person/58931 	Kerstin Spieker
https://www.uni-due.de/person/56028 	Kerstin Spieker
https://www.uni-due.de/person/867   	Kinue Sugita
https://www.uni-due.de/person/56108 	Kinue Sugita
https://www.uni-due.de/person/51387 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51386 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51831 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51833 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51388 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51389 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51743 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51744 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51830 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/50891 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/52173 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/52596 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/52593 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51832 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51186 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/52646 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/51185 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/52592 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/50892 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/52594 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/52172 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/50889 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/50890 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/52595 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/50799 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/50798 	Klinkhammer, MBA (Arkansas)
https://www.uni-due.de/person/55045 	Knigge, M.A.
https://www.uni-due.de/person/54148 	Knigge, M.A.
https://www.uni-due.de/person/55542 	Knigge, M.A.
https://www.uni-due.de/person/52032 	Knigge, M.A.
https://www.uni-due.de/person/55543 	Knigge, M.A.
https://www.uni-due.de/person/52033 	Knigge, M.A.
https://www.uni-due.de/person/53100 	Knigge, M.A.
https://www.uni-due.de/person/52601 	Knigge, M.A.
https://www.uni-due.de/person/52600 	Knigge, M.A.
https://www.uni-due.de/person/52599 	Knigge, M.A.
https://www.uni-due.de/person/52598 	Knigge, M.A.
https://www.uni-due.de/person/52665 	Knigge, M.A.
https://www.uni-due.de/person/53099 	Knigge, M.A.
https://www.uni-due.de/person/52048 	Knigge, M.A.
https://www.uni-due.de/person/52034 	Knigge, M.A.
https://www.uni-due.de/person/52843 	Konrad, M.A.
https://www.uni-due.de/person/56497 	Konrad, M.A.
https://www.uni-due.de/person/56495 	Konrad, M.A.
https://www.uni-due.de/person/57328 	Konrad, M.A.
https://www.uni-due.de/person/57327 	Konrad, M.A.
https://www.uni-due.de/person/57326 	Konrad, M.A.
https://www.uni-due.de/person/54331 	Konrad, M.A.
https://www.uni-due.de/person/57324 	Konrad, M.A.
https://www.uni-due.de/person/57325 	Konrad, M.A.
https://www.uni-due.de/person/56494 	Konrad, M.A.
https://www.uni-due.de/person/57323 	Konrad, M.A.
https://www.uni-due.de/person/56496 	Konrad, M.A.
https://www.uni-due.de/person/56493 	Konrad, M.A.
https://www.uni-due.de/person/52292 	Konrad, M.A.
https://www.uni-due.de/person/52293 	Konrad, M.A.
https://www.uni-due.de/person/52294 	Konrad, M.A.
https://www.uni-due.de/person/52828 	Kurilla, M.A.
https://www.uni-due.de/person/52831 	Kurilla, M.A.
https://www.uni-due.de/person/52830 	Kurilla, M.A.
https://www.uni-due.de/person/52829 	Kurilla, M.A.
https://www.uni-due.de/person/52809 	Kurilla, M.A.
https://www.uni-due.de/person/52824 	Kurilla, M.A.
https://www.uni-due.de/person/52817 	Kurilla, M.A.
https://www.uni-due.de/person/51720 	Körs, Dipl.-Soz.
https://www.uni-due.de/person/51704 	Körs, Dipl.-Soz.
https://www.uni-due.de/person/51671 	Körs, Dipl.-Soz.
https://www.uni-due.de/person/51672 	Körs, Dipl.-Soz.
https://www.uni-due.de/person/55281 	Langmandel, M.A.
https://www.uni-due.de/person/55282 	Langmandel, M.A.
https://www.uni-due.de/person/46759 	Lehrende des Fachs
https://www.uni-due.de/person/11920 	Lehrende des Fachs
https://www.uni-due.de/person/55295 	Loh, Dr. des.
https://www.uni-due.de/person/55109 	Loh, Dr. des.
https://www.uni-due.de/person/55294 	Loh, Dr. des.
https://www.uni-due.de/person/55296 	Loh, Dr. des.
https://www.uni-due.de/person/54573 	Loh, Dr. des.
https://www.uni-due.de/person/52246 	Loh, M.A.
https://www.uni-due.de/person/52247 	Loh, M.A.
https://www.uni-due.de/person/54571 	Loh, M.A.
https://www.uni-due.de/person/52248 	Loh, M.A.
https://www.uni-due.de/person/52845 	Loh, M.A.
https://www.uni-due.de/person/52847 	Loh, M.A.
https://www.uni-due.de/person/54572 	Loh, M.A.
https://www.uni-due.de/person/52846 	Loh, M.A.
https://www.uni-due.de/person/63238 	M. Sc. Marlen Externbrink
https://www.uni-due.de/person/60016 	M. Sc. Marlen Externbrink
https://www.uni-due.de/person/63034 	M.A. Jakob Kemper
https://www.uni-due.de/person/62186 	M.A. Jakob Kemper
https://www.uni-due.de/person/63035 	M.A. Johanna Plenter
https://www.uni-due.de/person/62880 	M.A. Johanna Plenter
https://www.uni-due.de/person/60945 	M.A. Jonas Elis
https://www.uni-due.de/person/63036 	M.A. Jonas Elis
https://www.uni-due.de/person/54769 	M.A. Patricia Rinck
https://www.uni-due.de/person/61122 	M.A. Patricia Rinck
https://www.uni-due.de/person/11886 	Markus Schneider
https://www.uni-due.de/person/1282  	Markus Schneider
https://www.uni-due.de/person/54249 	Marth, M.A.
https://www.uni-due.de/person/54796 	Marth, M.A.
https://www.uni-due.de/person/52871 	Marth, M.A.
https://www.uni-due.de/person/53225 	Marth, M.A.
https://www.uni-due.de/person/54247 	Marth, M.A.
https://www.uni-due.de/person/54250 	Marth, M.A.
https://www.uni-due.de/person/54251 	Marth, M.A.
https://www.uni-due.de/person/54248 	Marth, M.A.
https://www.uni-due.de/person/54906 	Marth, M.A.
https://www.uni-due.de/person/57032 	Marth, M.A.
https://www.uni-due.de/person/57031 	Marth, M.A.
https://www.uni-due.de/person/57030 	Marth, M.A.
https://www.uni-due.de/person/53255 	Marth, M.A.
https://www.uni-due.de/person/53256 	Marth, M.A.
https://www.uni-due.de/person/57033 	Marth, M.A.
https://www.uni-due.de/person/53257 	Marth, M.A.
https://www.uni-due.de/person/57029 	Marth, M.A.
https://www.uni-due.de/person/55207 	Megen, van
https://www.uni-due.de/person/54098 	Megen, van
https://www.uni-due.de/person/55208 	Megen, van
https://www.uni-due.de/person/54227 	Megen, van
https://www.uni-due.de/person/54226 	Megen, van
https://www.uni-due.de/person/63029 	Mennatullah Hendawy
https://www.uni-due.de/person/62774 	Mennatullah Hendawy
https://www.uni-due.de/person/56940 	Michael Krüger
https://www.uni-due.de/person/56939 	Michael Krüger
https://www.uni-due.de/person/51084 	Michael Leineweber
https://www.uni-due.de/person/1587  	Michael Leineweber
https://www.uni-due.de/person/63082 	Michael Nocke
https://www.uni-due.de/person/63108 	Michael Nocke
https://www.uni-due.de/person/52794 	Mihajlovic, M.A.
https://www.uni-due.de/person/52785 	Mihajlovic, M.A.
https://www.uni-due.de/person/52784 	Mihajlovic, M.A.
https://www.uni-due.de/person/52783 	Mihajlovic, M.A.
https://www.uni-due.de/person/53339 	Mihajlovic, M.A.
https://www.uni-due.de/person/53342 	Mihajlovic, M.A.
https://www.uni-due.de/person/53340 	Mihajlovic, M.A.
https://www.uni-due.de/person/53343 	Mihajlovic, M.A.
